 	cell	area	x	y	circ	BFI_lev_b1	BFI_lev_b2	BFI_lev_b3	BFI_lev_b4	BFI_lev_b5	BFO_lev_b1	BFO_lev_b2	BFO_lev_b3	BFO_lev_b4	BFO_lev_b5	RFP_int_bg	RFP_int_mean	RFP_int_b0	RFP_int_b1	RFP_int_b2	RFP_int_b3	RFP_int_b4	RFP_int_b5	RFP_int_b6	RFP_int_b7	RFP_int_b8	RFP_int_b9	RFP_int_b10	GFP_int_bg	GFP_int_mean	GFP_int_b0	GFP_int_b1	GFP_int_b2	GFP_int_b3	GFP_int_b4	GFP_int_b5	GFP_int_b6	GFP_int_b7	GFP_int_b8	GFP_int_b9	GFP_int_b10	inRFPnfoci	f1_inRFParea	f1_inRFPx	f1_inRFPy	f2_inRFParea	f2_inRFPx	f2_inRFPy	f1_inRFP_toRFPmed	f1_inRFP_toRFPmean	f2_inRFP_toRFPmed	f2_inRFP_toRFPmean	f1_inRFP_toGFPmed	f1_inRFP_toGFPmean	f2_inRFP_toGFPmed	f2_inRFP_toGFPmean	inGFPnfoci	f1_inGFParea	f1_inGFPx	f1_inGFPy	f2_inGFParea	f2_inGFPx	f2_inGFPy	f1_inGFP_toRFPmed	f1_inGFP_toRFPmean	f2_inGFP_toRFPmed	f2_inGFP_toRFPmean	f1_inGFP_toGFPmed	f1_inGFP_toGFPmean	f2_inGFP_toGFPmed	f2_inGFP_toGFPmean
1	1	1557	1667.572	135.650	0.867	216	1175	112	25	10	216	1175	112	25	10	106.222	414.511	3231	595	398	357	328	301	276	252	232	210	152	101.281	137.148	218	150	145	142	139	136	132	129	126	122	109	1	102	1680.447	142.143	0	0	0	1703	1738.294	0	0	170	171.216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	2	1611	415.489	186.930	0.907	72	889	497	97	26	72	889	497	97	26	106.000	176.638	219	196	189	185	181	179	175	169	163	154	133	101.000	128.919	143	136	133	132	131	129	128	127	125	121	109	0	0	0.000	0.000	0	0	0	0	0.000	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	3	734	1239.303	1169.470	0.798	128	333	180	66	7	128	333	180	66	7	108.807	198.843	245	232	225	215	206	198	192	184	176	165	145	102.000	166.030	208	185	179	173	168	165	162	158	155	150	127	0	0	0.000	0.000	0	0	0	0	0.000	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	4	2143	288.962	1243.114	0.784	107	1001	918	68	7	107	1001	918	68	7	106.203	119.442	159	129	124	121	119	117	116	115	114	112	109	102.693	2239.745	3309	3089	2973	2852	2704	2456	2145	1748	1370	1040	515	1	48	297.066	1249.056	0	0	0	145	144.542	0	0	2080	2105.854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	5	515	331.746	1232.822	0.868	27	29	56	256	138	27	29	56	256	138	106.779	114.060	129	116	116	115	114	114	113	112	112	111	110	102.008	1924.763	2550	2438	2316	2208	2106	1993	1855	1697	1528	1321	840	0	0	0.000	0.000	0	0	0	0	0.000	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	6	2168	223.992	1246.566	0.886	46	431	1338	278	39	46	431	1338	278	39	106.000	118.662	152	130	124	120	118	116	115	114	113	112	108	102.506	1672.140	2801	2544	2344	2160	1939	1706	1457	1195	965	780	415	1	17	211.743	1243.291	0	0	0	144	142.706	0	0	2680	2666.294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	7	2422	2008.241	1333.975	0.848	624	1672	55	41	8	624	1672	55	41	8	106.695	252.903	381	321	295	277	262	247	234	222	209	194	154	103.125	621.469	1155	950	821	730	654	581	518	461	420	375	261	0	0	0.000	0.000	0	0	0	0	0.000	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8	8	2575	1246.188	1371.583	0.801	139	1927	384	78	8	139	1927	384	78	8	109.216	123.947	148	136	129	125	123	122	120	119	119	118	113	104.000	687.899	1075	913	832	775	728	688	647	599	552	477	250	0	0	0.000	0.000	0	0	0	0	0.000	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	9	2072	1955.423	1379.180	0.823	87	248	1228	456	12	87	248	1228	456	12	108.193	263.608	413	331	306	292	279	266	252	237	221	200	135	103.764	673.758	1245	1025	916	831	751	672	585	512	428	336	188	0	0	0.000	0.000	0	0	0	0	0.000	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	10	1552	1900.534	1374.506	0.873	9	141	756	554	64	9	141	756	554	64	108.698	278.880	351	328	312	301	292	282	272	263	249	224	168	102.951	761.691	1171	1031	945	880	829	786	729	668	577	445	323	0	0	0.000	0.000	0	0	0	0	0.000	0	0	0	0.000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
